date,region,temperature,salinity,biodiversity_index
2020-02-23,Indian Ocean,21.41,35.39,7.23
2020-02-24,Indian Ocean,27.14,35.52,3.81
2020-02-25,Indian Ocean,24.98,34.99,5.52
2020-02-26,Indian Ocean,21.62,35.32,7.68
2020-02-27,Indian Ocean,24.99,35.52,5.36
2020-02-28,Indian Ocean,22.07,35.06,6.53
2020-02-29,Indian Ocean,19.28,35.24,8.09
2020-03-01,Indian Ocean,19.78,35.46,8.01
2020-03-02,Indian Ocean,20.04,35.54,7.21
2020-03-03,Indian Ocean,19.26,35.34,9.1
2020-03-04,Indian Ocean,22.11,35.74,7.98
2020-03-05,Indian Ocean,19.5,35.1,8.32
2020-03-06,Indian Ocean,23.48,35.09,6.74
2020-03-07,Indian Ocean,22.59,35.48,6.49
2020-03-08,Indian Ocean,26.6,34.79,4.73
2020-03-09,Indian Ocean,18.21,34.69,9.6
2020-03-10,Indian Ocean,20.82,34.87,8.08
2020-03-11,Indian Ocean,25.21,35.85,4.69
2020-03-12,Indian Ocean,21.74,33.95,7.36
2020-03-13,Indian Ocean,24.66,35.26,4.98
2020-03-14,Indian Ocean,23.65,34.92,6.65
2020-03-15,Indian Ocean,21.76,35.21,7.44
2020-03-16,Indian Ocean,24.07,34.23,5.94
2020-03-17,Indian Ocean,23.47,35.37,5.45
2020-03-18,Indian Ocean,23.09,35.13,6.53
2020-03-19,Indian Ocean,22.24,34.45,7.26
2020-03-20,Indian Ocean,22.25,34.9,6.83
2020-03-21,Indian Ocean,24.76,35.15,5.98
2020-03-22,Indian Ocean,25.14,35.85,5.86
2020-03-23,Indian Ocean,18.47,34.95,8.71
2020-03-24,Indian Ocean,25.3,34.92,6.2
2020-03-25,Indian Ocean,22.24,35.56,6.59
2020-03-26,Indian Ocean,19.66,34.98,7.97
2020-03-27,Indian Ocean,22.53,35.08,5.93
2020-03-28,Indian Ocean,24.57,35.13,6.69
2020-03-29,Indian Ocean,23.52,35.63,7.39
2020-03-30,Indian Ocean,19.94,34.24,8.2
2020-03-31,Indian Ocean,21.63,34.89,7.14
2020-04-01,Indian Ocean,22.25,34.63,6.17
2020-04-02,Indian Ocean,23.76,35.49,5.97
2020-04-03,Indian Ocean,21.06,34.96,7.37
2020-04-04,Indian Ocean,24.67,34.46,6.19
2020-04-05,Indian Ocean,24.52,34.2,6.04
2020-04-06,Indian Ocean,23.23,35.86,6.21
2020-04-07,Indian Ocean,27.3,35.04,4.36
2020-04-08,Indian Ocean,22.61,34.9,6.44
2020-04-09,Indian Ocean,22.83,35.0,6.49
2020-04-10,Indian Ocean,23.23,34.58,5.7
2020-04-11,Indian Ocean,23.17,35.45,6.21
2020-04-12,Indian Ocean,23.9,34.86,6.05
2020-04-13,Indian Ocean,20.07,35.21,8.25
2020-04-14,Indian Ocean,20.6,35.41,9.07
2020-04-15,Indian Ocean,23.04,34.51,6.47
2020-04-16,Indian Ocean,26.1,34.38,3.95
2020-04-17,Indian Ocean,23.6,35.04,6.38
2020-04-18,Indian Ocean,23.13,34.66,6.31
2020-04-19,Indian Ocean,24.79,35.04,5.54
2020-04-20,Indian Ocean,22.69,35.11,7.06
2020-04-21,Indian Ocean,26.79,34.92,4.81
2020-04-22,Indian Ocean,21.77,34.52,7.16
2020-04-23,Indian Ocean,24.22,34.1,6.01
2020-04-24,Indian Ocean,23.7,35.04,6.69
2020-04-25,Indian Ocean,23.22,35.17,6.03
2020-04-26,Indian Ocean,21.02,35.03,7.76
2020-04-27,Indian Ocean,22.7,34.66,6.89
2020-04-28,Indian Ocean,20.87,35.1,7.67
2020-04-29,Indian Ocean,23.25,33.63,6.31
2020-04-30,Indian Ocean,23.84,35.04,6.23
2020-05-01,Indian Ocean,20.43,34.97,7.71
2020-05-02,Indian Ocean,21.28,35.08,6.98
2020-05-03,Indian Ocean,24.53,34.48,5.2
2020-05-04,Indian Ocean,19.54,35.22,8.92
2020-05-05,Indian Ocean,22.09,35.63,7.19
2020-05-06,Indian Ocean,23.34,35.35,7.05
2020-05-07,Indian Ocean,24.24,35.07,5.19
2020-05-08,Indian Ocean,23.2,34.55,6.13
2020-05-09,Indian Ocean,22.71,34.87,7.07
2020-05-10,Indian Ocean,22.67,34.78,6.58
2020-05-11,Indian Ocean,26.48,34.62,4.3
2020-05-12,Indian Ocean,21.77,35.95,7.55
2020-05-13,Indian Ocean,22.81,35.18,6.99
2020-05-14,Indian Ocean,24.03,35.46,6.6
2020-05-15,Indian Ocean,23.65,34.4,6.45
2020-05-16,Indian Ocean,20.91,35.85,8.07
2020-05-17,Indian Ocean,24.89,34.86,5.03
2020-05-18,Indian Ocean,22.91,34.32,6.14
2020-05-19,Indian Ocean,21.64,35.21,7.27
2020-05-20,Indian Ocean,30.52,35.71,2.6
2020-05-21,Indian Ocean,22.15,35.66,7.8
2020-05-22,Indian Ocean,25.92,35.02,5.5
2020-05-23,Indian Ocean,25.08,35.05,4.94
2020-05-24,Indian Ocean,19.79,34.9,8.14
2020-05-25,Indian Ocean,23.24,34.34,6.28
2020-05-26,Indian Ocean,21.71,35.1,7.39
2020-05-27,Indian Ocean,25.74,35.06,5.24
2020-05-28,Indian Ocean,22.38,34.44,6.48
2020-05-29,Indian Ocean,22.71,34.7,7.02
2020-05-30,Indian Ocean,22.89,34.86,7.05
2020-05-31,Indian Ocean,21.94,35.11,7.03
2020-06-01,Indian Ocean,20.86,35.65,7.82
2020-06-02,Indian Ocean,19.88,35.41,7.94
2020-06-03,Indian Ocean,25.44,35.8,4.91
2020-06-04,Indian Ocean,27.63,34.77,4.24
2020-06-05,Indian Ocean,20.98,34.68,7.52
2020-06-06,Indian Ocean,24.86,34.96,5.16
2020-06-07,Indian Ocean,26.22,35.5,4.37
2020-06-08,Indian Ocean,23.69,34.72,4.89
2020-06-09,Indian Ocean,22.53,35.67,6.68
2020-06-10,Indian Ocean,24.34,35.17,5.44
2020-06-11,Indian Ocean,24.22,34.84,5.74
2020-06-12,Indian Ocean,24.19,35.15,5.18
2020-06-13,Indian Ocean,22.27,34.41,6.4
2020-06-14,Indian Ocean,19.31,34.29,7.52
2020-06-15,Indian Ocean,21.98,35.19,6.67
2020-06-16,Indian Ocean,22.51,34.72,6.33
2020-06-17,Indian Ocean,21.82,35.7,7.15
2020-06-18,Indian Ocean,22.04,34.71,7.42
2020-06-19,Indian Ocean,21.44,34.2,7.67
2020-06-20,Indian Ocean,26.44,34.92,4.69
2020-06-21,Indian Ocean,23.23,35.01,6.94
2020-06-22,Indian Ocean,22.81,35.34,7.24
2020-06-23,Indian Ocean,25.13,34.8,6.12
2020-06-24,Indian Ocean,19.48,35.59,8.97
2020-06-25,Indian Ocean,20.89,35.63,7.8
2020-06-26,Indian Ocean,19.22,35.28,8.61
2020-06-27,Indian Ocean,21.91,34.61,7.29
2020-06-28,Indian Ocean,22.39,35.53,6.67
2020-06-29,Indian Ocean,24.79,35.06,5.94
2020-06-30,Indian Ocean,25.24,35.6,5.29
2020-07-01,Indian Ocean,26.43,34.65,4.94
2020-07-02,Indian Ocean,24.91,35.14,5.75
2020-07-03,Indian Ocean,24.06,34.67,5.57
2020-07-04,Indian Ocean,21.44,34.47,7.43
2020-07-05,Indian Ocean,21.29,34.93,7.98
2020-07-06,Indian Ocean,24.21,35.0,5.78
2020-07-07,Indian Ocean,22.28,35.41,6.96
2020-07-08,Indian Ocean,20.73,34.91,7.66
2020-07-09,Indian Ocean,20.92,34.43,7.38
2020-07-10,Indian Ocean,23.32,35.87,6.98
2020-07-11,Indian Ocean,24.14,35.56,6.01
2020-07-12,Indian Ocean,18.77,35.09,8.67
2020-07-13,Indian Ocean,25.77,35.18,5.34
2020-07-14,Indian Ocean,21.64,35.76,6.21
2020-07-15,Indian Ocean,24.0,35.37,6.1
2020-07-16,Indian Ocean,22.76,35.06,6.07
2020-07-17,Indian Ocean,19.68,35.05,9.21
2020-07-18,Indian Ocean,23.74,35.55,6.27
2020-07-19,Indian Ocean,18.47,34.92,9.6
2020-07-20,Indian Ocean,22.3,35.8,6.73
2020-07-21,Indian Ocean,19.68,35.25,8.77
2020-07-22,Indian Ocean,23.54,35.0,6.68
2020-07-23,Indian Ocean,22.72,35.33,6.27
2020-07-24,Indian Ocean,21.97,35.57,6.92
2020-07-25,Indian Ocean,24.95,34.73,4.76
2020-07-26,Indian Ocean,25.28,34.9,6.01
2020-07-27,Indian Ocean,21.07,35.49,7.68
2020-07-28,Indian Ocean,24.63,34.55,5.1
2020-07-29,Indian Ocean,23.55,35.21,6.34
2020-07-30,Indian Ocean,23.19,34.92,6.9
2020-07-31,Indian Ocean,24.74,36.02,5.53
2020-08-01,Indian Ocean,24.19,35.9,5.99
2020-08-02,Indian Ocean,26.65,35.22,4.08
2020-08-03,Indian Ocean,22.08,34.73,8.0
2020-08-04,Indian Ocean,21.17,34.68,6.91
2020-08-05,Indian Ocean,26.15,34.94,5.6
2020-08-06,Indian Ocean,25.77,35.07,4.23
2020-08-07,Indian Ocean,26.93,35.23,5.36
2020-08-08,Indian Ocean,25.29,34.4,4.68
2020-08-09,Indian Ocean,20.55,34.26,8.64
2020-08-10,Indian Ocean,25.64,34.99,5.45
2020-08-11,Indian Ocean,22.73,34.76,6.35
2020-08-12,Indian Ocean,22.9,34.79,5.85
2020-08-13,Indian Ocean,23.27,35.31,7.07
2020-08-14,Indian Ocean,23.96,34.67,6.16
2020-08-15,Indian Ocean,20.95,35.86,7.27
2020-08-16,Indian Ocean,20.75,35.17,7.32
2020-08-17,Indian Ocean,25.33,34.87,5.72
2020-08-18,Indian Ocean,22.71,35.29,7.58
2020-08-19,Indian Ocean,24.04,35.6,5.66
2020-08-20,Indian Ocean,24.96,34.56,4.45
2020-08-21,Indian Ocean,27.67,34.05,4.6
2020-08-22,Indian Ocean,26.38,35.97,5.43
2020-08-23,Indian Ocean,25.85,35.32,4.27
2020-08-24,Indian Ocean,24.85,35.69,5.47
2020-08-25,Indian Ocean,25.24,35.38,5.67
2020-08-26,Indian Ocean,27.11,35.33,4.73
2020-08-27,Indian Ocean,26.05,34.66,4.61
2020-08-28,Indian Ocean,22.16,35.0,7.51
2020-08-29,Indian Ocean,24.61,35.3,5.38
2020-08-30,Indian Ocean,24.11,35.18,6.59
2020-08-31,Indian Ocean,25.38,34.91,6.09
2020-09-01,Indian Ocean,22.6,34.54,6.24
2020-09-02,Indian Ocean,24.39,35.59,4.68
2020-09-03,Indian Ocean,26.09,34.58,3.81
2020-09-04,Indian Ocean,25.77,35.15,5.28
2020-09-05,Indian Ocean,25.61,35.27,5.89
2020-09-06,Indian Ocean,26.28,34.57,5.17
2020-09-07,Indian Ocean,22.49,35.44,7.07
2020-09-08,Indian Ocean,23.55,34.55,5.84
2020-09-09,Indian Ocean,24.05,34.74,6.23
2020-09-10,Indian Ocean,24.24,35.51,6.08
2020-09-11,Indian Ocean,23.74,33.85,6.46
2020-09-12,Indian Ocean,23.15,34.75,7.26
2020-09-13,Indian Ocean,23.6,35.37,5.89
2020-09-14,Indian Ocean,25.78,35.29,4.83
2020-09-15,Indian Ocean,23.58,35.69,5.9
2020-09-16,Indian Ocean,21.46,35.39,6.85
2020-09-17,Indian Ocean,24.19,34.5,6.26
2020-09-18,Indian Ocean,26.73,34.5,4.75
2020-09-19,Indian Ocean,22.08,35.04,6.72
2020-09-20,Indian Ocean,24.35,34.97,5.97
2020-09-21,Indian Ocean,25.66,35.52,5.25
2020-09-22,Indian Ocean,22.55,35.02,6.73
2020-09-23,Indian Ocean,19.42,34.22,8.52
2020-09-24,Indian Ocean,20.61,34.02,7.58
2020-09-25,Indian Ocean,21.83,34.15,7.06
2020-09-26,Indian Ocean,25.84,35.35,4.91
2020-09-27,Indian Ocean,21.88,34.54,6.77
2020-09-28,Indian Ocean,21.92,35.35,7.02
2020-09-29,Indian Ocean,28.06,34.64,4.13
2020-09-30,Indian Ocean,23.04,36.1,5.91
2020-10-01,Indian Ocean,22.15,35.09,6.35
2020-10-02,Indian Ocean,25.11,35.51,5.19
2020-10-03,Indian Ocean,21.27,35.17,8.6
2020-10-04,Indian Ocean,23.77,35.22,6.12
2020-10-05,Indian Ocean,23.68,35.46,6.44
2020-10-06,Indian Ocean,22.72,35.02,6.73
2020-10-07,Indian Ocean,26.01,34.24,5.81
2020-10-08,Indian Ocean,24.73,35.57,5.56
2020-10-09,Indian Ocean,23.9,35.97,5.91
2020-10-10,Indian Ocean,21.43,35.19,6.45
2020-10-11,Indian Ocean,22.61,34.86,7.12
2020-10-12,Indian Ocean,21.94,34.42,6.27
2020-10-13,Indian Ocean,24.02,34.64,4.99
2020-10-14,Indian Ocean,24.42,34.93,6.6
2020-10-15,Indian Ocean,27.93,34.5,4.31
2020-10-16,Indian Ocean,21.79,34.47,7.16
2020-10-17,Indian Ocean,25.7,34.45,5.1
2020-10-18,Indian Ocean,20.53,35.08,8.22
2020-10-19,Indian Ocean,24.15,34.2,5.58
2020-10-20,Indian Ocean,23.86,34.83,6.79
2020-10-21,Indian Ocean,24.6,35.27,6.22
2020-10-22,Indian Ocean,22.77,34.3,6.05
2020-10-23,Indian Ocean,22.79,34.91,6.27
2020-10-24,Indian Ocean,23.08,35.1,6.93
2020-10-25,Indian Ocean,25.55,35.57,6.5
2020-10-26,Indian Ocean,20.26,34.7,8.01
2020-10-27,Indian Ocean,25.13,34.66,5.79
2020-10-28,Indian Ocean,25.28,35.32,6.15
2020-10-29,Indian Ocean,28.28,35.19,3.97
2020-10-30,Indian Ocean,26.06,35.11,4.66
2020-10-31,Indian Ocean,23.39,35.18,5.73
2020-11-01,Indian Ocean,22.15,35.25,7.04
2020-11-02,Indian Ocean,24.81,34.64,5.22
2020-11-03,Indian Ocean,23.98,34.66,5.49
2020-11-04,Indian Ocean,26.26,35.3,5.32
2020-11-05,Indian Ocean,25.04,35.85,5.37
2020-11-06,Indian Ocean,21.04,35.13,8.15
2020-11-07,Indian Ocean,28.29,35.25,5.19
2020-11-08,Indian Ocean,21.7,34.83,7.94
2020-11-09,Indian Ocean,27.02,34.72,4.93
2020-11-10,Indian Ocean,24.36,35.39,5.45
2020-11-11,Indian Ocean,20.83,35.56,6.58
2020-11-12,Indian Ocean,20.42,35.49,8.76
2020-11-13,Indian Ocean,26.02,35.38,4.07
2020-11-14,Indian Ocean,23.59,34.73,6.43
2020-11-15,Indian Ocean,25.82,34.5,5.93
2020-11-16,Indian Ocean,23.84,35.1,6.82
2020-11-17,Indian Ocean,26.42,34.81,4.49
2020-11-18,Indian Ocean,22.05,35.55,7.06
2020-11-19,Indian Ocean,25.73,35.2,4.24
2020-11-20,Indian Ocean,24.57,34.93,6.17
2020-11-21,Indian Ocean,24.56,36.13,5.76
2020-11-22,Indian Ocean,24.77,34.98,6.23
2020-11-23,Indian Ocean,26.53,34.83,4.39
2020-11-24,Indian Ocean,25.66,34.37,5.32
2020-11-25,Indian Ocean,23.49,34.83,6.5
2020-11-26,Indian Ocean,22.58,34.38,6.13
2020-11-27,Indian Ocean,22.23,34.59,6.56
2020-11-28,Indian Ocean,25.34,34.83,4.85
2020-11-29,Indian Ocean,26.23,34.09,5.06
2020-11-30,Indian Ocean,23.51,34.7,6.44
2020-12-01,Indian Ocean,24.81,34.88,5.48
2020-12-02,Indian Ocean,23.51,34.73,5.85
2020-12-03,Indian Ocean,24.79,35.27,6.32
2020-12-04,Indian Ocean,21.52,34.79,7.19
2020-12-05,Indian Ocean,27.69,35.04,4.09
2020-12-06,Indian Ocean,24.06,35.17,5.75
2020-12-07,Indian Ocean,25.54,34.62,5.72
2020-12-08,Indian Ocean,25.86,34.76,5.14
2020-12-09,Indian Ocean,24.14,34.47,5.45
2020-12-10,Indian Ocean,26.34,35.47,6.05
2020-12-11,Indian Ocean,25.17,34.88,4.77
2020-12-12,Indian Ocean,26.85,34.97,4.23
2020-12-13,Indian Ocean,25.2,33.75,6.25
2020-12-14,Indian Ocean,23.77,34.9,7.09
2020-12-15,Indian Ocean,26.24,35.39,5.12
2020-12-16,Indian Ocean,24.41,35.45,6.0
2020-12-17,Indian Ocean,25.96,35.03,5.67
2020-12-18,Indian Ocean,23.88,35.26,5.79
2020-12-19,Indian Ocean,23.92,34.27,6.12
2020-12-20,Indian Ocean,23.81,34.39,6.94
2020-12-21,Indian Ocean,26.84,35.09,4.69
2020-12-22,Indian Ocean,23.4,35.43,6.64
2020-12-23,Indian Ocean,24.57,35.37,6.02
2020-12-24,Indian Ocean,23.94,34.78,6.6
2020-12-25,Indian Ocean,23.14,34.15,6.47
2020-12-26,Indian Ocean,24.78,34.71,5.58
2020-12-27,Indian Ocean,23.94,34.59,5.64
2020-12-28,Indian Ocean,23.97,35.28,6.71
2020-12-29,Indian Ocean,21.91,34.83,6.4
2020-12-30,Indian Ocean,20.99,34.53,6.89
2020-01-01,Pacific Ocean,16.54,35.38,9.08
2020-01-02,Pacific Ocean,17.27,34.79,9.25
2020-01-03,Pacific Ocean,16.63,35.2,9.65
2020-01-04,Pacific Ocean,19.5,34.32,8.62
2020-01-05,Pacific Ocean,16.36,34.06,9.91
2020-01-06,Pacific Ocean,18.66,35.18,8.39
2020-01-07,Pacific Ocean,19.27,35.53,8.22
2020-01-08,Pacific Ocean,15.69,34.62,10.15
2020-01-09,Pacific Ocean,16.47,34.59,9.6
2020-01-10,Pacific Ocean,18.96,35.13,8.65
2020-01-11,Pacific Ocean,16.2,34.59,9.89
2020-01-12,Pacific Ocean,19.19,35.1,9.09
2020-01-13,Pacific Ocean,15.81,35.31,9.79
2020-01-14,Pacific Ocean,17.28,35.11,10.01
2020-01-15,Pacific Ocean,18.01,35.75,8.61
2020-01-16,Pacific Ocean,16.62,35.66,8.95
2020-01-17,Pacific Ocean,17.02,34.41,10.33
2020-01-18,Pacific Ocean,21.36,34.93,7.16
2020-01-19,Pacific Ocean,20.33,34.85,7.59
2020-01-20,Pacific Ocean,13.6,34.84,10.58
2020-01-21,Pacific Ocean,23.14,35.35,5.96
2020-01-22,Pacific Ocean,19.21,35.18,8.48
2020-01-23,Pacific Ocean,18.2,34.05,8.59
2020-01-24,Pacific Ocean,16.66,35.73,9.15
2020-01-25,Pacific Ocean,17.51,35.19,8.98
2020-01-26,Pacific Ocean,21.92,35.63,6.43
2020-01-27,Pacific Ocean,20.81,34.89,6.98
2020-01-28,Pacific Ocean,15.88,34.99,10.23
2020-01-29,Pacific Ocean,20.44,35.05,7.68
2020-01-30,Pacific Ocean,20.07,34.21,7.63
2020-01-31,Pacific Ocean,16.05,35.77,10.91
2020-02-01,Pacific Ocean,21.04,34.74,8.01
2020-02-02,Pacific Ocean,19.24,34.5,9.45
2020-02-03,Pacific Ocean,21.76,34.82,7.29
2020-02-04,Pacific Ocean,19.06,34.43,8.44
2020-02-05,Pacific Ocean,22.94,34.87,6.45
2020-02-06,Pacific Ocean,16.98,34.49,8.63
2020-02-07,Pacific Ocean,20.12,35.23,9.0
2020-02-08,Pacific Ocean,16.51,35.08,9.2
2020-02-09,Pacific Ocean,18.62,35.16,9.01
2020-02-10,Pacific Ocean,17.56,35.03,9.26
2020-02-11,Pacific Ocean,20.05,34.91,8.37
2020-02-12,Pacific Ocean,19.55,35.76,8.19
2020-02-13,Pacific Ocean,12.47,35.44,11.6
2020-02-14,Pacific Ocean,18.88,34.33,8.51
2020-02-15,Pacific Ocean,19.54,34.17,7.86
2020-02-16,Pacific Ocean,21.27,35.42,7.33
2020-02-17,Pacific Ocean,17.44,35.11,9.58
2020-02-18,Pacific Ocean,18.04,35.53,8.51
2020-02-19,Pacific Ocean,20.87,35.83,7.27
2020-02-20,Pacific Ocean,18.04,36.2,9.47
2020-02-21,Pacific Ocean,16.61,34.76,10.27
2020-02-22,Pacific Ocean,15.57,34.07,10.04
2020-02-23,Pacific Ocean,21.18,34.4,7.69
2020-02-24,Pacific Ocean,17.47,35.36,9.99
2020-02-25,Pacific Ocean,17.55,34.29,8.48
2020-02-26,Pacific Ocean,15.25,34.76,10.44
2020-02-27,Pacific Ocean,16.3,35.35,9.98
2020-02-28,Pacific Ocean,15.29,34.72,10.57
2020-02-29,Pacific Ocean,17.14,35.16,9.94
2020-03-01,Pacific Ocean,20.54,35.33,8.61
2020-03-02,Pacific Ocean,19.74,34.91,8.19
2020-03-03,Pacific Ocean,18.23,34.71,8.29
2020-03-04,Pacific Ocean,16.91,35.18,9.29
2020-03-05,Pacific Ocean,19.33,33.75,7.63
2020-03-06,Pacific Ocean,21.27,35.41,6.98
2020-03-07,Pacific Ocean,13.87,34.84,11.36
2020-03-08,Pacific Ocean,19.08,35.43,7.96
2020-03-09,Pacific Ocean,21.5,35.05,7.44
2020-03-10,Pacific Ocean,14.34,35.04,10.45
2020-03-11,Pacific Ocean,19.1,35.32,8.62
2020-03-12,Pacific Ocean,20.39,36.07,8.45
2020-03-13,Pacific Ocean,19.05,35.31,7.62
2020-03-14,Pacific Ocean,17.59,35.41,7.89
2020-03-15,Pacific Ocean,17.81,35.59,8.83
2020-03-16,Pacific Ocean,17.29,34.74,9.74
2020-03-17,Pacific Ocean,20.25,35.46,8.12
2020-03-18,Pacific Ocean,18.83,34.91,7.86
2020-03-19,Pacific Ocean,17.53,34.93,9.29
2020-03-20,Pacific Ocean,16.63,35.2,9.88
2020-03-21,Pacific Ocean,16.46,34.98,9.45
2020-03-22,Pacific Ocean,25.11,34.71,4.84
2020-03-23,Pacific Ocean,14.65,34.96,9.61
2020-03-24,Pacific Ocean,18.15,35.16,9.75
2020-03-25,Pacific Ocean,18.38,35.08,9.21
2020-03-26,Pacific Ocean,19.88,35.14,8.44
2020-03-27,Pacific Ocean,18.82,35.61,8.22
2020-03-28,Pacific Ocean,19.84,34.89,7.59
2020-03-29,Pacific Ocean,18.23,35.58,8.68
2020-03-30,Pacific Ocean,16.04,34.7,9.94
2020-03-31,Pacific Ocean,22.67,35.48,6.41
2020-04-01,Pacific Ocean,17.78,34.87,8.99
2020-04-02,Pacific Ocean,20.19,35.04,7.14
2020-04-03,Pacific Ocean,15.94,35.02,11.05
2020-04-04,Pacific Ocean,19.74,35.33,8.22
2020-04-05,Pacific Ocean,16.12,35.85,9.14
2020-04-06,Pacific Ocean,18.17,34.81,8.41
2020-04-07,Pacific Ocean,16.39,35.21,9.72
2020-04-08,Pacific Ocean,20.08,35.19,7.37
2020-04-09,Pacific Ocean,22.03,34.12,6.94
2020-04-10,Pacific Ocean,24.77,33.19,5.48
2020-04-11,Pacific Ocean,17.77,35.03,9.0
2020-04-12,Pacific Ocean,16.0,34.31,9.08
2020-04-13,Pacific Ocean,18.25,35.33,8.59
2020-04-14,Pacific Ocean,16.77,35.08,9.43
2020-04-15,Pacific Ocean,19.53,34.83,7.85
2020-04-16,Pacific Ocean,17.71,35.86,9.14
2020-04-17,Pacific Ocean,21.55,34.26,6.74
2020-04-18,Pacific Ocean,17.32,35.14,9.75
2020-04-19,Pacific Ocean,19.04,35.03,8.68
2020-04-20,Pacific Ocean,20.39,35.47,7.23
2020-04-21,Pacific Ocean,21.19,34.25,7.25
2020-04-22,Pacific Ocean,18.38,35.04,9.67
2020-04-23,Pacific Ocean,19.68,34.9,8.19
2020-04-24,Pacific Ocean,22.42,34.98,6.7
2020-04-25,Pacific Ocean,20.03,36.15,7.74
2020-04-26,Pacific Ocean,20.49,34.98,7.57
2020-04-27,Pacific Ocean,16.18,35.03,9.73
2020-04-28,Pacific Ocean,17.22,35.46,9.71
2020-04-29,Pacific Ocean,18.28,34.99,8.81
2020-04-30,Pacific Ocean,19.93,34.44,7.91
2020-05-01,Pacific Ocean,19.9,34.85,7.08
2020-05-02,Pacific Ocean,20.37,35.35,7.4
2020-05-03,Pacific Ocean,19.15,33.9,8.36
2020-05-04,Pacific Ocean,21.61,33.95,8.33
2020-05-05,Pacific Ocean,18.65,36.38,7.91
2020-05-06,Pacific Ocean,18.48,35.17,8.62
2020-05-07,Pacific Ocean,21.32,34.56,7.57
2020-05-08,Pacific Ocean,18.87,35.0,8.54
2020-05-09,Pacific Ocean,20.06,34.47,8.22
2020-05-10,Pacific Ocean,19.12,35.15,8.54
2020-05-11,Pacific Ocean,16.95,34.81,9.67
2020-05-12,Pacific Ocean,20.27,35.6,8.16
2020-05-13,Pacific Ocean,18.58,35.12,9.03
2020-05-14,Pacific Ocean,19.09,34.4,7.7
2020-05-15,Pacific Ocean,17.83,34.77,9.3
2020-05-16,Pacific Ocean,18.7,35.46,8.67
2020-05-17,Pacific Ocean,18.54,35.29,9.16
2020-05-18,Pacific Ocean,19.54,34.43,8.46
2020-05-19,Pacific Ocean,18.81,35.21,8.92
2020-05-20,Pacific Ocean,19.7,35.61,7.9
2020-05-21,Pacific Ocean,18.23,35.28,9.23
2020-05-22,Pacific Ocean,21.09,35.58,8.0
2020-05-23,Pacific Ocean,16.24,35.1,9.51
2020-05-24,Pacific Ocean,20.51,36.04,8.39
2020-05-25,Pacific Ocean,17.79,35.65,9.29
