date,region,temperature,salinity,current_speed,sea_level
2020-03-06,Indian Ocean,23.13,34.42,2.4,0.216
2020-03-07,Indian Ocean,20.67,34.74,2.23,-0.009
2020-03-08,Indian Ocean,23.61,35.3,0.22,0.067
2020-03-09,Indian Ocean,20.65,35.75,0.21,0.035
2020-03-10,Indian Ocean,25.12,34.34,0.12,-0.04
2020-03-11,Indian Ocean,22.05,35.12,1.51,0.154
2020-03-12,Indian Ocean,27.57,34.5,0.92,-0.075
2020-03-13,Indian Ocean,24.36,34.71,1.61,-0.146
2020-03-14,Indian Ocean,22.04,35.0,0.57,0.126
2020-03-15,Indian Ocean,22.31,35.48,1.6,-0.14
2020-03-16,Indian Ocean,24.67,35.41,1.86,0.105
2020-03-17,Indian Ocean,17.1,34.72,1.54,-0.026
2020-03-18,Indian Ocean,24.02,35.43,0.12,-0.034
2020-03-19,Indian Ocean,23.53,35.98,0.22,-0.097
2020-03-20,Indian Ocean,22.22,34.97,0.93,-0.018
2020-03-21,Indian Ocean,21.41,35.15,1.51,0.082
2020-03-22,Indian Ocean,22.03,34.49,2.1,0.07
2020-03-23,Indian Ocean,23.02,34.6,0.63,0.096
2020-03-24,Indian Ocean,22.95,35.96,0.12,0.06
2020-03-25,Indian Ocean,23.14,34.44,2.31,0.07
2020-03-26,Indian Ocean,20.63,35.43,1.06,-0.055
2020-03-27,Indian Ocean,23.99,35.26,1.75,-0.047
2020-03-28,Indian Ocean,23.36,35.59,0.5,-0.125
2020-03-29,Indian Ocean,22.41,34.49,2.25,0.161
2020-03-30,Indian Ocean,25.01,35.31,0.85,-0.171
2020-03-31,Indian Ocean,23.42,35.55,2.02,-0.073
2020-04-01,Indian Ocean,22.67,34.37,1.34,0.043
2020-04-02,Indian Ocean,18.03,34.75,0.83,-0.084
2020-04-03,Indian Ocean,21.52,35.26,1.31,-0.042
2020-04-04,Indian Ocean,21.41,34.5,1.24,0.038
2020-04-05,Indian Ocean,18.34,35.97,0.29,0.052
2020-04-06,Indian Ocean,22.95,35.39,1.35,-0.101
2020-04-07,Indian Ocean,24.29,34.44,2.09,0.128
2020-04-08,Indian Ocean,20.87,35.28,0.55,-0.015
2020-04-09,Indian Ocean,24.18,34.39,0.42,-0.003
2020-04-10,Indian Ocean,24.18,34.97,1.89,0.119
2020-04-11,Indian Ocean,22.04,35.02,0.16,-0.103
2020-04-12,Indian Ocean,21.19,35.45,0.59,-0.121
2020-04-13,Indian Ocean,22.46,34.96,2.1,0.093
2020-04-14,Indian Ocean,20.34,33.75,1.44,0.138
2020-04-15,Indian Ocean,24.4,34.76,0.67,0.059
2020-04-16,Indian Ocean,21.09,35.38,1.1,-0.067
2020-04-17,Indian Ocean,23.68,34.9,0.53,-0.025
2020-04-18,Indian Ocean,22.66,34.56,2.4,-0.009
2020-04-19,Indian Ocean,24.29,34.37,0.47,0.087
2020-04-20,Indian Ocean,21.96,33.98,1.54,0.111
2020-04-21,Indian Ocean,23.85,34.9,0.57,0.053
2020-04-22,Indian Ocean,21.73,35.36,0.16,-0.082
2020-04-23,Indian Ocean,23.43,34.56,1.95,0.085
2020-04-24,Indian Ocean,23.21,34.75,0.19,0.035
2020-04-25,Indian Ocean,21.95,34.28,2.12,0.035
2020-04-26,Indian Ocean,22.07,35.35,1.95,-0.202
2020-04-27,Indian Ocean,19.3,34.57,1.14,0.079
2020-04-28,Indian Ocean,24.46,35.02,0.86,0.084
2020-04-29,Indian Ocean,23.0,34.82,0.23,-0.121
2020-04-30,Indian Ocean,23.33,35.15,1.08,-0.054
2020-05-01,Indian Ocean,27.57,34.73,2.44,-0.007
2020-05-02,Indian Ocean,23.96,35.31,1.42,-0.065
2020-05-03,Indian Ocean,21.97,35.15,0.78,0.153
2020-05-04,Indian Ocean,24.08,33.79,1.61,-0.05
2020-05-05,Indian Ocean,26.83,35.6,0.84,-0.1
2020-05-06,Indian Ocean,24.04,34.98,1.3,0.092
2020-05-07,Indian Ocean,26.81,33.97,1.85,0.094
2020-05-08,Indian Ocean,23.46,35.04,1.98,0.189
2020-05-09,Indian Ocean,21.05,35.16,1.93,0.033
2020-05-10,Indian Ocean,22.6,34.93,1.81,0.127
2020-05-11,Indian Ocean,25.54,34.58,0.24,-0.084
2020-05-12,Indian Ocean,23.76,35.13,2.15,0.067
2020-05-13,Indian Ocean,24.11,35.21,2.21,0.111
2020-05-14,Indian Ocean,20.43,34.69,1.38,-0.004
2020-05-15,Indian Ocean,19.85,35.1,1.59,-0.005
2020-05-16,Indian Ocean,21.21,34.64,0.66,-0.06
2020-05-17,Indian Ocean,21.01,35.1,2.0,-0.064
2020-05-18,Indian Ocean,22.78,34.71,1.86,0.049
2020-05-19,Indian Ocean,26.07,35.08,1.55,0.026
2020-05-20,Indian Ocean,23.46,35.24,1.39,-0.111
2020-05-21,Indian Ocean,24.36,34.99,0.57,-0.042
2020-05-22,Indian Ocean,23.71,35.54,0.77,-0.086
2020-05-23,Indian Ocean,25.19,35.27,0.96,-0.037
2020-05-24,Indian Ocean,21.22,35.52,2.18,0.134
2020-05-25,Indian Ocean,22.79,34.72,0.84,0.215
2020-05-26,Indian Ocean,22.33,35.11,2.49,0.134
2020-05-27,Indian Ocean,22.6,34.79,1.89,0.008
2020-05-28,Indian Ocean,23.79,34.63,2.16,-0.049
2020-05-29,Indian Ocean,22.56,35.15,1.49,-0.027
2020-05-30,Indian Ocean,23.11,35.29,0.66,-0.162
2020-05-31,Indian Ocean,24.81,34.65,1.31,0.122
2020-06-01,Indian Ocean,19.29,35.92,0.73,-0.122
2020-06-02,Indian Ocean,21.94,35.67,1.24,-0.008
2020-06-03,Indian Ocean,18.58,34.52,1.31,-0.159
2020-06-04,Indian Ocean,24.38,35.69,1.36,0.011
2020-06-05,Indian Ocean,20.64,35.86,2.19,-0.029
2020-06-06,Indian Ocean,24.65,34.79,2.47,-0.002
2020-06-07,Indian Ocean,25.69,35.49,1.04,-0.142
2020-06-08,Indian Ocean,20.12,35.13,2.06,-0.181
2020-06-09,Indian Ocean,25.54,34.59,0.58,-0.026
2020-06-10,Indian Ocean,22.75,35.04,1.76,0.046
2020-06-11,Indian Ocean,25.53,34.28,2.37,-0.086
2020-06-12,Indian Ocean,23.17,35.8,0.97,-0.041
2020-06-13,Indian Ocean,22.47,34.95,0.97,0.019
2020-06-14,Indian Ocean,23.36,35.18,1.65,-0.044
2020-06-15,Indian Ocean,22.15,35.17,2.16,0.124
2020-06-16,Indian Ocean,20.8,34.95,0.79,0.033
2020-06-17,Indian Ocean,22.77,35.3,0.89,0.065
2020-06-18,Indian Ocean,24.43,35.16,0.64,0.143
2020-06-19,Indian Ocean,25.63,34.67,0.13,0.097
2020-06-20,Indian Ocean,22.92,34.41,0.34,0.006
2020-06-21,Indian Ocean,22.24,34.89,1.12,0.148
2020-06-22,Indian Ocean,24.72,34.16,1.22,0.045
2020-06-23,Indian Ocean,23.26,35.32,0.53,0.131
2020-06-24,Indian Ocean,25.05,33.88,0.89,-0.071
2020-06-25,Indian Ocean,24.49,35.1,0.74,-0.104
2020-06-26,Indian Ocean,20.12,34.94,0.99,0.003
2020-06-27,Indian Ocean,25.9,35.16,1.71,0.058
2020-06-28,Indian Ocean,27.17,34.43,0.98,0.158
2020-06-29,Indian Ocean,19.79,34.97,2.23,0.07
2020-06-30,Indian Ocean,23.52,34.97,1.34,0.009
2020-07-01,Indian Ocean,21.5,34.49,0.66,-0.057
2020-07-02,Indian Ocean,22.19,34.36,1.5,0.148
2020-07-03,Indian Ocean,21.99,35.53,1.32,0.032
2020-07-04,Indian Ocean,24.86,35.86,1.0,0.012
2020-07-05,Indian Ocean,22.2,35.04,1.75,-0.049
2020-07-06,Indian Ocean,24.5,35.44,1.15,-0.01
2020-07-07,Indian Ocean,22.88,33.89,0.74,-0.084
2020-07-08,Indian Ocean,22.07,35.43,1.16,0.069
2020-07-09,Indian Ocean,22.3,34.98,1.89,-0.12
2020-07-10,Indian Ocean,23.91,36.07,1.34,-0.095
2020-07-11,Indian Ocean,26.61,34.91,2.3,0.096
2020-07-12,Indian Ocean,25.93,35.35,0.27,-0.144
2020-07-13,Indian Ocean,23.69,35.07,2.23,-0.003
2020-07-14,Indian Ocean,22.88,34.67,0.25,-0.003
2020-07-15,Indian Ocean,24.02,34.82,0.95,-0.136
2020-07-16,Indian Ocean,27.24,35.55,1.21,0.02
2020-07-17,Indian Ocean,19.49,35.23,2.48,-0.013
2020-07-18,Indian Ocean,20.83,35.81,0.45,-0.187
2020-07-19,Indian Ocean,25.18,35.34,1.13,-0.115
2020-07-20,Indian Ocean,23.29,33.51,0.51,-0.089
2020-07-21,Indian Ocean,24.52,35.04,0.68,-0.075
2020-07-22,Indian Ocean,25.52,34.86,0.15,-0.196
2020-07-23,Indian Ocean,24.38,34.86,1.02,0.157
2020-07-24,Indian Ocean,20.97,35.29,0.82,-0.12
2020-07-25,Indian Ocean,23.35,35.34,0.72,-0.033
2020-07-26,Indian Ocean,23.45,34.81,1.22,0.144
2020-07-27,Indian Ocean,21.47,35.1,2.01,-0.044
2020-07-28,Indian Ocean,20.63,35.93,2.22,0.058
2020-07-29,Indian Ocean,23.54,34.97,0.47,-0.161
2020-07-30,Indian Ocean,19.77,33.85,0.38,0.158
2020-07-31,Indian Ocean,22.43,34.35,0.5,0.056
2020-08-01,Indian Ocean,24.91,34.45,2.25,-0.174
2020-08-02,Indian Ocean,21.27,35.4,1.78,-0.03
2020-08-03,Indian Ocean,24.44,34.89,0.7,-0.088
2020-08-04,Indian Ocean,24.63,35.58,2.4,-0.089
2020-08-05,Indian Ocean,24.11,35.18,1.08,-0.273
2020-08-06,Indian Ocean,20.87,34.92,0.32,0.165
2020-08-07,Indian Ocean,23.27,34.55,1.85,-0.016
2020-08-08,Indian Ocean,24.14,35.48,1.95,-0.147
2020-08-09,Indian Ocean,25.29,34.72,0.79,-0.142
2020-08-10,Indian Ocean,22.75,34.46,0.5,-0.003
2020-08-11,Indian Ocean,22.82,34.6,1.24,-0.031
2020-08-12,Indian Ocean,23.9,34.9,1.51,-0.046
2020-08-13,Indian Ocean,25.27,35.26,0.49,0.073
2020-08-14,Indian Ocean,22.6,34.5,0.64,-0.095
2020-08-15,Indian Ocean,19.84,34.86,0.86,0.057
2020-08-16,Indian Ocean,24.28,35.43,2.31,0.201
2020-08-17,Indian Ocean,24.82,36.37,1.87,-0.06
2020-08-18,Indian Ocean,23.26,34.1,0.89,0.108
2020-08-19,Indian Ocean,23.24,34.49,0.71,0.221
2020-08-20,Indian Ocean,21.27,35.18,2.22,0.109
2020-08-21,Indian Ocean,25.94,35.28,0.82,0.209
2020-08-22,Indian Ocean,20.04,34.86,1.77,0.267
2020-08-23,Indian Ocean,22.97,35.96,0.53,0.124
2020-08-24,Indian Ocean,24.97,34.7,2.18,-0.006
2020-08-25,Indian Ocean,24.59,35.23,1.38,-0.065
2020-08-26,Indian Ocean,21.88,34.78,1.93,-0.17
2020-08-27,Indian Ocean,22.37,34.58,1.67,-0.104
2020-08-28,Indian Ocean,22.63,35.38,2.23,-0.078
2020-08-29,Indian Ocean,23.9,34.72,1.6,-0.14
2020-08-30,Indian Ocean,23.0,35.13,1.18,0.112
2020-08-31,Indian Ocean,21.43,35.45,1.15,0.085
2020-09-01,Indian Ocean,20.19,34.24,0.22,0.012
2020-09-02,Indian Ocean,22.72,34.63,0.62,0.03
2020-09-03,Indian Ocean,24.7,34.76,0.32,0.05
2020-09-04,Indian Ocean,24.15,34.74,1.6,-0.095
2020-09-05,Indian Ocean,27.92,34.01,1.15,0.007
2020-09-06,Indian Ocean,24.52,34.63,2.26,0.101
2020-09-07,Indian Ocean,21.92,34.95,1.83,-0.019
2020-09-08,Indian Ocean,19.55,35.17,0.15,-0.225
2020-09-09,Indian Ocean,24.53,34.82,1.95,-0.24
2020-09-10,Indian Ocean,26.4,36.09,0.72,-0.031
2020-09-11,Indian Ocean,24.68,34.75,2.34,-0.022
2020-09-12,Indian Ocean,22.55,35.29,1.7,-0.01
2020-09-13,Indian Ocean,28.52,34.45,0.62,-0.188
2020-09-14,Indian Ocean,26.65,34.05,0.52,-0.068
2020-09-15,Indian Ocean,23.53,33.77,1.65,0.016
2020-09-16,Indian Ocean,27.37,35.03,1.81,-0.106
2020-09-17,Indian Ocean,21.59,34.37,1.84,0.113
2020-09-18,Indian Ocean,25.3,34.7,0.18,0.13
2020-09-19,Indian Ocean,24.21,35.22,0.59,0.031
2020-09-20,Indian Ocean,22.07,35.04,1.41,0.067
2020-09-21,Indian Ocean,23.5,35.7,0.83,0.053
2020-09-22,Indian Ocean,21.8,34.38,1.25,-0.111
2020-09-23,Indian Ocean,22.27,36.23,0.52,-0.064
2020-09-24,Indian Ocean,20.26,34.83,1.72,0.007
2020-09-25,Indian Ocean,22.71,35.28,1.03,-0.149
2020-09-26,Indian Ocean,21.5,34.84,1.49,-0.058
2020-09-27,Indian Ocean,22.61,35.8,1.16,-0.159
2020-09-28,Indian Ocean,24.51,35.17,2.25,0.05
2020-09-29,Indian Ocean,19.75,35.51,1.83,-0.044
2020-09-30,Indian Ocean,27.09,34.33,1.49,0.056
2020-10-01,Indian Ocean,22.51,34.55,0.46,-0.215
2020-10-02,Indian Ocean,26.2,34.76,0.42,0.04
2020-10-03,Indian Ocean,27.13,35.67,0.26,0.042
2020-10-04,Indian Ocean,21.34,35.27,0.59,-0.071
2020-10-05,Indian Ocean,27.31,35.55,0.69,-0.051
2020-10-06,Indian Ocean,20.25,34.42,2.15,0.078
2020-10-07,Indian Ocean,21.51,35.65,0.98,-0.091
2020-10-08,Indian Ocean,26.32,35.22,0.14,-0.003
2020-10-09,Indian Ocean,23.22,34.85,1.96,-0.017
2020-10-10,Indian Ocean,24.03,34.33,1.49,-0.052
2020-10-11,Indian Ocean,20.49,35.03,0.71,-0.185
2020-10-12,Indian Ocean,25.08,35.18,1.43,0.031
2020-10-13,Indian Ocean,26.52,36.45,1.17,-0.027
2020-10-14,Indian Ocean,22.59,35.23,0.66,0.157
2020-10-15,Indian Ocean,22.6,35.57,1.8,0.048
2020-10-16,Indian Ocean,21.95,34.78,0.38,-0.054
2020-10-17,Indian Ocean,19.1,35.56,1.18,-0.018
2020-10-18,Indian Ocean,22.73,35.02,0.19,-0.12
2020-10-19,Indian Ocean,21.9,35.46,1.42,0.156
2020-10-20,Indian Ocean,24.07,34.06,0.31,0.108
2020-10-21,Indian Ocean,25.38,35.18,2.32,0.04
2020-10-22,Indian Ocean,24.26,34.43,2.19,0.0
2020-10-23,Indian Ocean,23.91,34.92,1.3,-0.105
2020-10-24,Indian Ocean,22.04,35.02,1.79,0.028
2020-10-25,Indian Ocean,25.04,35.25,1.85,-0.142
2020-10-26,Indian Ocean,21.98,35.38,1.93,0.155
2020-10-27,Indian Ocean,25.45,34.36,0.63,-0.125
2020-10-28,Indian Ocean,23.82,35.18,0.47,-0.025
2020-10-29,Indian Ocean,23.29,34.67,0.31,-0.035
2020-10-30,Indian Ocean,24.02,33.91,2.22,-0.024
2020-10-31,Indian Ocean,25.21,34.46,0.46,-0.079
2020-11-01,Indian Ocean,25.84,34.18,0.7,-0.005
2020-11-02,Indian Ocean,23.13,35.3,0.94,-0.059
2020-11-03,Indian Ocean,21.3,34.25,2.17,-0.049
2020-11-04,Indian Ocean,24.94,34.69,2.08,0.088
2020-11-05,Indian Ocean,26.55,35.45,1.23,0.081
2020-11-06,Indian Ocean,23.21,34.74,0.49,-0.065
2020-11-07,Indian Ocean,24.27,35.04,0.68,-0.113
2020-11-08,Indian Ocean,27.2,34.35,1.18,-0.036
2020-11-09,Indian Ocean,25.95,35.48,1.73,0.18
2020-11-10,Indian Ocean,25.58,35.58,1.58,-0.025
2020-11-11,Indian Ocean,21.62,34.8,2.1,-0.135
2020-11-12,Indian Ocean,23.08,35.12,1.64,-0.015
2020-11-13,Indian Ocean,21.86,34.97,0.82,-0.093
2020-11-14,Indian Ocean,24.89,35.42,2.19,-0.044
2020-11-15,Indian Ocean,23.15,35.23,1.34,-0.026
2020-11-16,Indian Ocean,23.93,34.82,1.81,-0.011
2020-11-17,Indian Ocean,21.5,35.0,2.48,0.008
2020-11-18,Indian Ocean,29.53,34.98,2.39,0.023
2020-11-19,Indian Ocean,25.75,34.57,1.69,0.057
2020-11-20,Indian Ocean,23.51,35.9,0.91,-0.037
2020-11-21,Indian Ocean,22.37,35.07,1.94,-0.127
2020-11-22,Indian Ocean,26.03,34.74,0.91,0.086
2020-11-23,Indian Ocean,25.3,34.91,1.65,0.149
2020-11-24,Indian Ocean,23.18,35.35,2.01,0.018
2020-11-25,Indian Ocean,25.69,35.3,1.42,0.16
2020-11-26,Indian Ocean,21.92,35.9,1.63,-0.12
2020-11-27,Indian Ocean,23.8,35.28,0.43,0.016
2020-11-28,Indian Ocean,23.96,34.45,2.05,0.125
2020-11-29,Indian Ocean,22.95,34.85,0.59,-0.035
2020-11-30,Indian Ocean,26.52,34.7,0.95,-0.042
2020-12-01,Indian Ocean,21.83,34.47,0.2,-0.143
2020-12-02,Indian Ocean,28.09,35.16,0.7,0.069
2020-12-03,Indian Ocean,24.23,34.99,2.38,-0.013
2020-12-04,Indian Ocean,22.82,35.19,0.52,-0.173
2020-12-05,Indian Ocean,25.5,35.74,0.88,0.093
2020-12-06,Indian Ocean,26.79,35.67,0.7,-0.11
2020-12-07,Indian Ocean,21.4,35.26,0.27,0.045
2020-12-08,Indian Ocean,25.24,35.65,1.1,-0.046
2020-12-09,Indian Ocean,20.72,35.28,1.41,0.171
2020-12-10,Indian Ocean,24.2,34.85,2.25,-0.092
2020-12-11,Indian Ocean,25.07,34.49,2.21,0.351
2020-12-12,Indian Ocean,23.39,35.13,1.26,0.138
2020-12-13,Indian Ocean,24.68,34.53,0.99,0.019
2020-12-14,Indian Ocean,22.85,35.64,2.34,-0.067
2020-12-15,Indian Ocean,22.88,35.52,0.66,-0.023
2020-12-16,Indian Ocean,21.14,34.75,0.26,0.049
2020-12-17,Indian Ocean,23.56,34.93,1.03,0.072
2020-12-18,Indian Ocean,26.11,35.47,1.53,0.007
2020-12-19,Indian Ocean,25.92,35.57,0.31,0.187
2020-12-20,Indian Ocean,22.44,34.45,0.27,-0.054
2020-12-21,Indian Ocean,25.74,35.58,0.5,-0.036
2020-12-22,Indian Ocean,21.45,34.71,2.23,-0.058
2020-12-23,Indian Ocean,23.16,35.37,1.6,0.066
2020-12-24,Indian Ocean,25.42,34.45,1.52,-0.097
2020-12-25,Indian Ocean,22.99,34.89,1.45,0.075
2020-12-26,Indian Ocean,24.34,34.83,0.23,-0.019
2020-12-27,Indian Ocean,25.95,35.41,1.3,-0.106
2020-12-28,Indian Ocean,26.75,34.89,0.88,-0.193
2020-12-29,Indian Ocean,24.56,35.28,2.5,-0.057
2020-12-30,Indian Ocean,27.82,35.74,2.38,0.045
2020-01-01,Pacific Ocean,17.74,36.14,1.57,0.012
2020-01-02,Pacific Ocean,20.85,35.02,1.45,-0.136
2020-01-03,Pacific Ocean,20.32,35.26,2.44,-0.082
2020-01-04,Pacific Ocean,19.65,34.93,1.87,-0.096
2020-01-05,Pacific Ocean,18.14,34.88,1.52,0.062
2020-01-06,Pacific Ocean,19.82,34.8,2.09,-0.066
2020-01-07,Pacific Ocean,19.88,34.2,1.94,-0.042
2020-01-08,Pacific Ocean,19.48,35.13,2.13,-0.09
2020-01-09,Pacific Ocean,21.81,35.18,1.67,-0.066
2020-01-10,Pacific Ocean,21.68,34.15,1.97,0.088
2020-01-11,Pacific Ocean,21.3,34.72,1.96,-0.246
2020-01-12,Pacific Ocean,17.11,34.96,0.71,-0.075
2020-01-13,Pacific Ocean,16.88,35.69,2.27,0.141
2020-01-14,Pacific Ocean,18.13,35.04,0.94,0.256
2020-01-15,Pacific Ocean,18.89,35.49,0.63,0.07
2020-01-16,Pacific Ocean,21.55,35.24,1.66,-0.088
2020-01-17,Pacific Ocean,18.21,35.63,0.26,0.093
2020-01-18,Pacific Ocean,21.07,34.79,0.33,0.089
2020-01-19,Pacific Ocean,16.22,34.56,1.42,-0.024
2020-01-20,Pacific Ocean,19.12,34.79,0.36,0.083
2020-01-21,Pacific Ocean,16.64,34.51,0.34,0.018
2020-01-22,Pacific Ocean,14.64,34.53,2.01,-0.038
2020-01-23,Pacific Ocean,17.24,34.79,0.32,-0.025
2020-01-24,Pacific Ocean,17.43,34.83,0.18,0.02
2020-01-25,Pacific Ocean,18.49,35.71,0.79,-0.107
2020-01-26,Pacific Ocean,19.05,35.29,0.75,-0.162
2020-01-27,Pacific Ocean,18.43,35.1,0.7,-0.0
2020-01-28,Pacific Ocean,14.23,35.2,0.35,-0.095
2020-01-29,Pacific Ocean,18.18,34.36,1.52,-0.03
2020-01-30,Pacific Ocean,18.57,35.01,2.19,0.073
2020-01-31,Pacific Ocean,17.86,35.33,1.77,0.171
2020-02-01,Pacific Ocean,16.57,34.11,2.34,0.095
2020-02-02,Pacific Ocean,18.34,34.81,0.75,-0.037
2020-02-03,Pacific Ocean,18.49,34.88,0.58,0.001
2020-02-04,Pacific Ocean,17.5,35.86,2.31,-0.087
2020-02-05,Pacific Ocean,19.72,34.98,2.15,0.141
2020-02-06,Pacific Ocean,19.96,35.07,2.28,-0.164
2020-02-07,Pacific Ocean,18.16,33.89,0.45,0.129
2020-02-08,Pacific Ocean,17.16,34.52,1.07,0.257
2020-02-09,Pacific Ocean,17.48,34.69,0.34,-0.06
2020-02-10,Pacific Ocean,19.44,35.29,0.83,-0.107
2020-02-11,Pacific Ocean,18.94,34.69,1.09,-0.022
2020-02-12,Pacific Ocean,18.72,35.45,0.46,-0.155
2020-02-13,Pacific Ocean,18.57,35.15,1.82,0.012
2020-02-14,Pacific Ocean,25.28,33.72,1.5,-0.115
2020-02-15,Pacific Ocean,14.4,34.8,1.69,-0.05
2020-02-16,Pacific Ocean,16.32,33.79,0.27,-0.015
2020-02-17,Pacific Ocean,18.75,34.78,1.52,-0.081
2020-02-18,Pacific Ocean,20.26,35.44,1.47,0.038
2020-02-19,Pacific Ocean,19.26,34.72,1.35,-0.089
2020-02-20,Pacific Ocean,18.79,35.1,0.67,-0.056
2020-02-21,Pacific Ocean,17.16,34.35,1.78,-0.0
2020-02-22,Pacific Ocean,20.85,34.73,1.57,-0.054
2020-02-23,Pacific Ocean,14.83,35.67,1.75,0.071
2020-02-24,Pacific Ocean,19.31,35.12,2.39,-0.054
2020-02-25,Pacific Ocean,21.4,34.88,1.34,-0.086
2020-02-26,Pacific Ocean,19.63,35.47,1.23,0.051
2020-02-27,Pacific Ocean,19.02,34.58,1.51,0.067
2020-02-28,Pacific Ocean,23.59,34.8,2.27,-0.018
2020-02-29,Pacific Ocean,21.29,34.89,0.7,0.023
2020-03-01,Pacific Ocean,20.29,34.93,1.49,0.015
2020-03-02,Pacific Ocean,18.48,34.6,1.04,-0.113
2020-03-03,Pacific Ocean,15.04,34.92,0.63,0.026
2020-03-04,Pacific Ocean,17.53,34.89,1.2,-0.004
2020-03-05,Pacific Ocean,18.8,34.76,1.91,0.02
2020-03-06,Pacific Ocean,19.66,34.76,1.94,0.024
2020-03-07,Pacific Ocean,16.43,35.22,1.16,0.023
2020-03-08,Pacific Ocean,18.29,35.19,1.51,0.033
2020-03-09,Pacific Ocean,18.2,34.95,1.03,-0.192
2020-03-10,Pacific Ocean,18.29,34.29,1.75,-0.074
2020-03-11,Pacific Ocean,19.44,35.17,2.15,-0.058
2020-03-12,Pacific Ocean,20.14,35.0,2.42,0.091
2020-03-13,Pacific Ocean,17.41,35.11,2.43,-0.128
2020-03-14,Pacific Ocean,18.82,35.65,1.86,-0.101
2020-03-15,Pacific Ocean,17.27,34.61,0.41,-0.137
